1	1	252	306	707	1	0
1	1	252	306	703	1	0
1	1	252	306	702	2	0.301029995663981
1	1	247	308	699	1	0
1	1	253	307	699	1	0
1	1	253	306	698	3	0.477121254719662
1	1	252	306	697	1	0
1	1	254	308	695	1	0
1	1	257	305	692	1	0
1	1	252	306	691	1	0
1	1	249	304	688	1	0
1	1	252	306	686	3	0.477121254719662
1	1	252	306	672	1	0
1	1	254	307	669	2	0.301029995663981
1	1	254	308	667	1	0
1	1	252	306	664	2	0.301029995663981
1	1	252	306	663	1	0
1	1	254	308	662	3	0.477121254719662
1	1	252	306	650	1	0
1	1	252	306	649	1	0
1	1	252	306	647	1	0
1	1	252	306	645	1	0
1	1	252	306	642	2	0.301029995663981
1	1	252	306	637	1	0
1	1	252	306	636	2	0.301029995663981
2	1	133	149	688	2	0
2	1	133	149	686	5	0.778151250383644
2	1	133	149	681	3	0.477121254719662
2	1	133	149	679	7	0.903089986991944
2	1	133	149	676	5	0.602059991327962
2	1	133	149	674	8	1.07918124604762
2	1	133	149	673	5	0.602059991327962
2	1	133	149	668	4	0.602059991327962
2	1	133	149	665	9	1.17609125905568
2	1	133	149	663	8	1.07918124604762
2	1	133	149	659	2	0.301029995663981
2	1	133	149	652	12	1
2	1	133	149	650	4	0.477121254719662
2	1	133	149	648	4	0.477121254719662
2	1	133	149	644	3	0.301029995663981
2	1	133	149	631	5	0.602059991327962
2	1	133	149	624	4	0.301029995663981
2	1	134	149	616	7	0.845098040014257
2	1	133	149	614	7	1.07918124604762
3	1	104	65	885	5	0.698970004336019
3	1	104	65	884	7	0.845098040014257
3	1	104	65	882	2	0.301029995663981
3	1	104	65	881	2	0.301029995663981
3	1	104	65	878	1	0
3	1	104	65	877	3	0.477121254719662
3	1	104	65	875	1	0
3	1	104	65	872	1	0
3	1	104	65	871	1	0
3	1	104	65	870	3	0.477121254719662
3	1	104	65	869	1	0
3	1	104	65	868	1	0
3	1	104	65	863	2	0.301029995663981
3	1	104	65	862	2	0.301029995663981
3	1	104	65	861	1	0
3	1	104	65	859	2	0.301029995663981
3	1	104	65	856	2	0.301029995663981
3	1	104	65	854	1	0
3	1	104	65	853	1	0
3	1	104	65	851	1	0
3	1	104	65	845	1	0
3	1	104	65	842	2	0.301029995663981
3	1	104	65	839	2	0.301029995663981
3	1	104	65	838	2	0.301029995663981
3	1	104	65	837	2	0.301029995663981
3	1	104	65	836	1	0
3	1	104	65	832	1	0
3	1	104	65	830	1	0
3	1	104	65	829	1	0
4	1	20	36	463	6	0.778151250383644
4	1	20	36	460	1	0
4	1	20	36	459	4	0.602059991327962
4	1	20	36	457	5	0.698970004336019
4	1	20	36	454	4	0.602059991327962
4	1	20	36	452	9	0.954242509439325
4	1	20	36	451	9	0.954242509439325
4	1	57	37	532	1	0
4	1	57	37	530	2	0.301029995663981
4	1	16	37	492	1	0
4	1	16	37	478	5	0.602059991327962
4	1	45	29	639	1	0
4	1	46	30	622	1	0
4	1	46	30	561	1	0
4	1	46	30	539	1	0
4	1	46	30	512	1	0
5	5	30	12	23	4	0.602059991327962
5	5	30	12	22	8	1.17609125905568
5	5	31	12	22	24	3.25527250510331
5	5	16	14	21	2	0
5	5	6	19	38	1	0
5	5	7	15	4	2	0.301029995663981
5	5	16	17	2	1	0
5	5	16	17	5	1	0
5	5	18	15	16	1	0
5	5	18	15	12	1	0
5	5	20	12	23	1	0
5	5	20	12	22	1	0
5	5	20	12	21	5	0.602059991327962
5	5	10	17	12	2	0
5	5	10	17	6	2	0
5	5	22	18	14	1	0
5	5	25	14	1	2	0.301029995663981
5	5	16	17	9	4	0.301029995663981
5	5	2	13	13	1	0
6	2	10	8	322	27	2.73719264270474
6	2	10	8	321	11	1.20411998265592
6	2	10	8	320	16	1.84509804001426
6	2	10	8	317	18	2.43136376415899
6	2	10	8	315	24	2.7481880270062
6	2	10	8	303	15	2.15836249209525
6	2	10	8	297	14	1.85733249643127
6	2	10	8	289	21	2.58433122436753
6	2	10	8	285	16	2.25527250510331
6	2	10	8	280	14	1.85733249643127
6	2	10	8	218	16	2.07918124604763
6	2	10	8	215	18	2.28330122870355
6	2	10	8	214	7	0.778151250383644
6	2	10	8	211	16	1.98227123303957
7	4	3	3	19	39	4.89075625191822
7	4	3	3	18	32	3.60552052343747
7	4	0	3	43	68	6.74808874834949
7	4	2	2	16	79	10.1701884810674
7	4	7	3	109	107	13.2566992587789
7	4	7	3	108	145	16.1543942138841
7	4	7	3	107	115	14.7009368773623
7	4	3	3	17	15	1.68124123737559
7	4	7	3	116	92	10.8223090399897
7	4	7	3	102	210	22.5434308592057
7	4	7	3	100	195	19.889821818239
7	4	0	3	52	41	5.24897319992366
7	4	0	3	38	56	5.6915411940154
7	4	2	3	91	662	36.0804982038141
7	4	4	2	44	39	5.21981497118244
7	4	4	2	43	30	3.06145247908719
7	4	4	3	28	68	8.92764053951467
7	4	4	2	27	28	3.48742121135947
7	4	4	3	27	137	15.8332051456345
7	4	4	3	34	63	7.58779175647704
7	4	4	3	33	129	12.6029349095012
7	4	3	5	10	6	0
7	4	6	2	38	62	6.49088174346898
7	4	6	2	37	95	7.81087957820894
7	4	4	5	10	16	1.68124123737559
7	4	4	2	35	39	4.26557246174312
7	4	4	2	33	48	5.87302748495779
7	4	3	5	34	13	1.25527250510331
7	4	4	3	24	108	3.69267069915637
7	4	1	5	8	2	0.301029995663981
7	4	7	3	117	79	6.14176323027579
7	4	7	3	115	55	6.35024801833416
7	4	7	3	111	118	14.1957868990424
7	4	7	3	106	164	15.9141323546724
7	4	7	3	105	139	16.7318860137214
7	4	7	3	104	136	16.929166571847
7	4	7	3	103	132	16.2723942473054
7	4	7	3	101	182	21.7340457453466
7	4	7	3	99	90	10.3925273378173
7	4	7	3	94	131	17.047265883925
7	4	7	3	93	161	17.9286147363446
7	4	7	3	92	179	20.6314094267325
7	4	7	3	97	23	3.11260500153457
7	4	4	3	91	16	1.38021124171161
7	4	4	2	91	12	1
7	4	0	5	65	7	0.602059991327962
7	4	0	5	64	7	0.301029995663981
7	4	6	2	64	41	4.18639121569549
7	4	6	2	60	61	6.74269371646278
7	4	4	5	9	14	1.60205999132796
7	4	3	3	25	16	1.50514997831991
7	4	0	4	3	6	0.778151250383644
7	4	3	5	47	4	0.301029995663981
7	4	0	3	30	7	0.301029995663981
7	4	1	3	108	2	0
7	4	4	3	105	94	11.516480161444
7	4	0	3	46	85	7.97714574650349
7	4	0	3	63	45	4.87852179550121
7	4	0	3	62	53	6.31236017878805
7	4	0	3	61	55	6.37930696841866
7	4	0	3	59	22	2.85733249643127
7	4	0	3	58	49	5.83082980516333
7	4	0	3	54	71	7.49821127513289
